"ids","pids"
100636,1003783
1003783,2001227
101055,1003784
102450,1003784
1003784,2001227
214369,1003785
214370,1003785
1003785,2001227
101815,1003786
1003786,2001227
100877,1003787
1003787,2001227
2001227,6004816
102464,1003817
102465,1003817
214558,1003817
214559,1003817
214560,1003817
214561,1003817
214562,1003817
214563,1003817
214565,1003817
214566,1003817
214567,1003817
214569,1003817
214570,1003817
214571,1003817
214572,1003817
1003817,2001229
2001229,6004816
214573,1003818
1003818,2001232
214574,1003819
214575,1003819
214576,1003819
1003819,2001232
2001232,6004816
101759,1003788
101760,1003788
101761,1003788
101762,1003788
214373,1003788
214374,1003788
214375,1003788
214378,1003788
214379,1003788
214380,1003788
214381,1003788
214382,1003788
214383,1003788
214385,1003788
214386,1003788
1003788,2001231
2001231,6004816
6004816,3000188
214577,1003820
6004678,1003820
1003820,6004825
6004825,2002915
214577,1003820
6004678,1003820
1003820,2002915
101078,1003821
1003821,2001233
2001233,2002915
101078,1003821
1003821,2002915
2002915,3000188
101078,1003821
1003821,2001233
2001233,3000188
214391,1003791
1003791,2001225
214392,1003792
1003792,2001225
100806,1003794
6003440,1003794
214395,1003794
214397,1003794
214398,1003794
1003794,2001225
233647,1009414
1009414,2001225
102413,1003795
1003795,2001225
214400,1003796
1003796,2001225
214401,1003797
1003797,2001225
214402,1003798
1003798,2001225
214403,1003799
214404,1003799
214405,1003799
1003799,2001225
214406,1003800
214407,1003800
1003800,2001225
214408,1003801
266190,1003801
266191,1003801
1003801,2001225
100793,1003802
1003802,2001225
214410,1003803
1003803,2001225
214411,1003804
1003804,2001225
214413,1003806
1003806,2001225
102380,1003807
1003807,2001225
100277,1003811
214418,1003811
1003811,2001225
100807,1003793
102498,1003793
1003793,2001225
214412,1003805
1003805,2001225
251246,1013957
1013957,2001225
102453,1003810
1003810,2001225
214415,1003808
1003808,2001225
214420,1003812
1003812,2001225
214416,1003809
1003809,2001225
2001225,3000188
214388,1003789
214389,1003789
1003789,2002914
214390,1003790
1003790,2002914
2002914,3000188
214242,1003772
214243,1003772
214244,1003772
214245,1003772
1003772,2002913
214246,1003773
1003773,2002913
102515,1003774
1003774,2002913
214248,1003775
214249,1003775
214250,1003775
1003775,2002913
100203,1003776
100204,1003776
100205,1003776
100206,1003776
100207,1003776
100208,1003776
102371,1003776
102372,1003776
